City,City Code,Region,Latitude,Longitude,Desc
New York,1,USA,40.730599,-73.986581,"""New York City, NY, US"""
Los Angeles,2,USA,34.053678,-118.242702,"""Los Angeles, Los Angeles County, CA, US"""
Chicago,3,USA,41.875555,-87.624421,"""Chicago, Cook County, IL, US"""
Houston,4,USA,29.981501,-95.53836,"""Houston, Harris County, TX, US"""
Philadelphia,5,USA,39.952335,-75.163789,"""Philadelphia, Philadelphia County, PA, US"""
Phoenix,6,USA,33.446768,-112.075672,"""Phoenix, Maricopa County, AZ, US"""
San Antonio,7,USA,29.4246,-98.49514,"""San Antonio, Bexar County, TX, US"""
San Diego,8,USA,32.717421,-117.162771,"""San Diego, San Diego County, CA, US"""
Dallas,9,USA,32.776196,-96.796899,"""Dallas, Dallas County, TX, US"""
San Jose,10,USA,37.34385,-121.883135,"""San JosÇ, Santa Clara County, CA, US"""
Austin,11,USA,30.271129,-97.7437,"""Austin, Travis County, TX, US"""
Indianapolis,12,USA,39.76838,-86.158045,"""Indianapolis, Marion County, IN, US"""
Jacksonville,13,USA,30.332184,-81.655651,"""Jacksonville, Duval County, FL, US"""
San Francisco,14,USA,37.779277,-122.41927,"""San Francisco, San Francisco City and County, CA, US"""
Columbus,15,USA,39.96226,-83.000706,"""Columbus, Franklin County, OH, US"""
Charlotte,16,USA,35.227087,-80.843127,"""Charlotte, Mecklenburg County, NC, US"""
Detroit,17,USA,42.348664,-83.056738,"""Detroit, Wayne County, MI, US"""
Memphis,18,USA,35.149022,-90.051628,"""Memphis, Shelby County, TN, US"""
Seattle,19,USA,47.603832,-122.330062,"""Seattle, King County, WA, US"""
Denver,20,USA,39.739154,-104.984703,"""Denver, Denver County, CO, US"""
Washington,21,USA,38.894955,-77.036646,"""Washington, District of Columbia, US"""
Boston,22,USA,42.360482,-71.059568,"""Boston, Suffolk County, MA, US"""
Nashville,23,USA,36.162226,-86.774342,"""Nashville, Davidson County, TN, US"""
Baltimore,24,USA,39.290861,-76.610807,"""Baltimore, MD, US"""
Portland,25,USA,45.520247,-122.674195,"""Portland, Multnomah County, OR, US"""
Las Vegas,26,USA,36.166286,-115.149225,"""Las Vegas, Clark County, NV, US"""
Milwaukee,27,USA,43.034993,-87.922497,"""Milwaukee, Milwaukee County, WI, US"""
Albuquerque,28,USA,35.084103,-106.650985,"""Albuquerque, Bernalillo County, NM, US"""
Tucson,29,USA,32.221742,-110.926476,"""Tucson, Pima County, AZ, US"""
Fresno,30,USA,36.73082,-119.699202,"""Fresno, Fresno County, CA, US"""
Sacramento,31,USA,38.581572,-121.4944,"""Sacramento, Sacramento County, CA, US"""
Kansas City,32,USA,39.084469,-94.56303,"""Kansas City, Jackson County, MO, US"""
Colorado Springs,33,USA,38.833958,-104.825348,"""Colorado Springs, El Paso County, CO, US"""
Atlanta,34,USA,33.749099,-84.390185,"""Atlanta, Fulton County, GA, US"""
Omaha,35,USA,41.258732,-95.937873,"""Omaha, Douglas County, NE, US"""
Raleigh,36,USA,35.780402,-78.639078,"""Raleigh, Wake County, NC, US"""
Miami,37,USA,25.774266,-80.193659,"""Miami, Miami-Dade County, FL, US"""
Minneapolis,38,USA,44.9773,-93.265469,"""Minneapolis, Hennepin County, MN, US"""
Tulsa,39,USA,36.152436,-95.990409,"""Tulsa, Tulsa County, OK, US"""
Cleveland,40,USA,41.505161,-81.693445,"""Cleveland, Cuyahoga County, OH, US"""
New Orleans,41,USA,29.949932,-90.070116,"""New Orleans, Orleans Parish, LA, US"""
London,42,UK,51.507322,-0.127647,"""London, London, England, GB"""
Birmingham,43,UK,52.481368,-1.898073,"""Birmingham, Warwickshire, England, GB"""
Leeds,44,UK,53.797418,-1.543794,"""Leeds, England, GB"""
Glasgow,45,UK,55.861147,-4.249989,"""Glasgow, Glasgow City, Scotland, GB"""
Sheffield,46,UK,53.380663,-1.470228,"""Sheffield, England, GB"""
Bradford,47,UK,53.794157,-1.749478,"""Bradford, England, GB"""
Liverpool,48,UK,53.405472,-2.980539,"""Liverpool, England, GB"""
Edinburgh,49,UK,55.948354,-3.193119,"""Edinburgh, Edinburgh, Scotland, GB"""
Manchester,50,UK,53.479147,-2.244744,"""Manchester, England, GB"""
Bristol,51,UK,51.453493,-2.597394,"""Bristol, Bristol, England, GB"""
Wakefield,52,UK,53.682567,-1.500047,"""Wakefield, England, GB"""
Cardiff,53,UK,51.48353,-3.183687,"""Cardiff, Cardiff, Wales, GB"""
Dudley,54,UK,52.511473,-2.08201,"""Dudley, Staffordshire, England, GB"""
Wigan,55,UK,53.545719,-2.626462,"""Wigan, Cumbria, England, GB"""
Leicester,56,UK,52.636781,-1.131229,"""Leicester, Leicestershire, England, GB"""
Sunderland,57,UK,54.906379,-1.375053,"""Sunderland, Tyne and Wear, England, GB"""
Nottingham,58,UK,52.954977,-1.151107,"""Nottingham, Nottingham, England, GB"""
Newcastle,59,UK,54.977092,-1.614206,"""Newcastle upon Tyne, Tyne and Wear, England, GB"""
Bolton,60,UK,53.577694,-2.428887,"""Bolton, Cumbria, England, GB"""
Plymouth,61,UK,50.371266,-4.142566,"""Plymouth, Devon, England, GB"""
Stockholm,62,Nordic,59.325117,18.071094,"""Stockholm, Stockholms lÑn, Stockholms lÑn, SE"""
Gothenburg,63,Nordic,57.707233,11.967017,"""Gothenburg, VÑstra Gîtalands lÑn, VÑstra Gîtalands lÑn, SE"""
Malmoe,64,Nordic,55.605293,13.000157,"""Malmî, Malmî, SkÜne lÑn, SE"""
Oslo,65,Nordic,59.913269,10.739111,"""Oslo, Oslo, Oslo, NO"""
Trondheim,66,Nordic,63.430566,10.395193,"""Trondheim, Trondheim, S?r-Tr?ndelag, NO"""
Bergen,67,Nordic,60.394346,5.325885,"""Bergen, Bergen, Hordaland, NO"""
Stavanger,68,Nordic,58.968043,5.732472,"""Stavanger, Stavanger, Rogaland, NO"""
Copenhagen,69,Nordic,55.686724,12.570072,"""Copenhagen, Copenhagen Municipality, Capital Region of Denmark, DK"""
Aarhus,70,Nordic,56.149628,10.213405,"""Aarhus, Aarhus Municipality, Central Denmark Region, DK"""
Odense,71,Nordic,55.399722,10.38521,"""Odense, Odense Kommune, Region of Southern Denmark, DK"""
Helsinki,72,Nordic,60.166628,24.943508,"""Helsinki, Helsingin seutukunta, Southern Finland, FI"""
Tampere,73,Nordic,61.498021,23.760312,"""Tampere, Pirkanmaa, Western Finland, FI"""
Reykjavik,74,Nordic,64.145981,-21.942237,"""Reykjavik, IS"""
Madrid,75,Spain,40.416705,-3.703582,"""Madrid, ?rea metropolitana de Madrid y Corredor del Henares, Community of Madrid, ES"""
Barcelona,76,Spain,41.38256,2.177135,"""Barcelona, Barcelonäs, Catalonia, ES"""
Valencia,77,Spain,39.334197,-0.796958,"""Provincia de Valencia / Valäncia, Valencian Community, ES"""
Sevilla,78,Spain,37.38863,-5.995317,"""Sevilla, Provincia de Sevilla, Andalusia, ES"""
Zaragoza,79,Spain,41.652134,-0.880943,"""Zaragoza, Provincia de Zaragoza, Aragon, ES"""
Valladolid,80,Spain,41.652133,-4.728562,"""Valladolid, Provincia de Valladolid, Castile and Le¢n, ES"""
Alicante,81,Spain,38.375649,-0.531437,"""Alicante/Alacant, Provincia de Alicante / Alacant, Valencian Community, ES"""
Granada,82,Spain,37.18302,-3.602192,"""Granada, Provincia de Granada, Andalusia, ES"""
Santander,83,Spain,43.46231,-3.810107,"""Santander, Cantabria, ES"""
Berlin,84,Germany,52.517036,13.38886,"""Berlin, Berlin, DE"""
Hamburg,85,Germany,53.550341,10.000654,"""Hamburg, Hamburg, DE"""
Munich,86,Germany,48.137272,11.575482,"""Munich, Munich, Free State of Bavaria, DE"""
Cologne,87,Germany,50.957703,6.954953,"""Cologne, North Rhine-Westphalia, DE"""
Frankfurt,88,Germany,50.121388,8.66201,"""Frankfurt, Frankfurt, Hesse, DE"""
Stuttgart,89,Germany,48.778493,9.180046,"""Stuttgart, Stuttgart, Baden-WÅrttemberg, DE"""
Dortmund,90,Germany,51.514227,7.465279,"""Dortmund, Dortmund, North Rhine-Westphalia, DE"""
Dresden,91,Germany,51.049329,13.738144,"""Dresden, Dresden, Saxony, DE"""
Leipzig,92,Germany,51.339183,12.381055,"""Leipzig, Leipzig, Saxony, DE"""
Hannover,93,Germany,52.374478,9.738553,"""Hanover, Region Hannover, Lower Saxony, DE"""
Tokyo,94,Japan,35.690041,139.510395,"""Kanto, JP"""
Yokohama,95,Japan,35.455592,139.572196,
Osaka,96,Japan,34.685296,135.514568,"""Osaka, Senboku District, Kinki Region, JP"""
Nagoya,97,Japan,35.183333,136.9,"""Nagoya, Chita, Chubu Region, JP"""
Sapporo,98,Japan,43.062048,141.35446,"""Sapporo, Sorachi District, Hokkaido Region, JP"""
Kyoto,99,Japan,35.01858,135.763835,"""Kyoto, Kuse District, Kyoto Prefecture, JP"""
Chiba,100,Japan,35.299946,140.198196,"""Kanto, JP"""
